videoID,resolution,size(MB),duration(s)
x7roqve,144p,1.2,88
x7roqve,720p,16.4,61
x7roqve,480p,6.4,61
x7roqve,360p,3.5,61
x7roqve,240p,1.9,61
x7roqve,144p,0.8,61
x7ro72r,1080p,208.4,268
x7ro72r,720p,72,268
x7ro72r,480p,28,268
x7ro72r,360p,15,268
x7ro72r,240p,8.3,268
x7ro72r,144p,3,268
x7qj7rq,1080p,190.5,245
x7qj7rq,720p,65.8,245
x7qj7rq,480p,25.6,245
x7qj7rq,360p,14.1,245
x7qj7rq,240p,7.5,245
x7ro72r,144p,3.2,268
x7rfkzd,1080p,248,320
x7rfkzd,720p,86,320
x7rfkzd,480p,33,320
x7rfkzd,360p,18,320
x7rfkzd,240p,9,320
x7rfkzd,144p,4,320
x7qa1uo,1080p,172,222
x7qa1uo,720p,59,222
x7qa1uo,480p,23,222
x7qa1uo,360p,12,222
x7qa1uo,240p,6,222
x7qa1uo,144p,2,222
x7qa1uo,1080p,175,225
x7qa1uo,720p,60,225
x7qa1uo,480p,23,225
x7qa1uo,360p,13,225
x7qa1uo,240p,6,225
x7qa1uo,144p,3,225
x7ro7qa,1080p,80,104
x7ro7qa,720p,27,104
x7ro7qa,480p,10,104
x7ro7qa,360p,6,104
x7ro7qa,240p,3,104
x7ro7qa,144p,1,104
x7rqees,1080p,53,69
x7rqees,720p,18,69
x7rqees,480p,7,69
x7rqees,360p,4,69
x7rqees,240p,2,69
x7rqees,144p,0.9,69
x7ro9xz,720p,30,112
x7ro9xz,480p,11,112
x7ro9xz,360p,6,112
x7ro9xz,240p,3,112
x7ro9xz,144p,1.9,112
x7rq56g,720p,19,73
x7rq56g,480p,7,73
x7rq56g,360p,4,73
x7rq56g,240p,2,73
x7rq56g,144p,0.9,73
x7rq8u8,720p,25,96
x7rq8u8,480p,10,96
x7rq8u8,360p,5,96
x7rq8u8,240p,3,96
x7rq8u8,144p,1.3,96
x7rplut,1080p,81,105
x7rplut,720p,28,105
x7rplut,480p,11,105
x7rplut,360p,6,105
x7rplut,240p,3,105
x7rplut,144p,1,105
x7rm76k,1080p,34,44
x7rm76k,720p,11,44
x7rm76k,480p,4,44
x7rm76k,360p,2,44
x7rm76k,240p,1,44
x7rm76k,144p,0.5,4
x7rqikw,1080p,66,85
x7rqikw,720p,22,85
x7rqikw,480p,8,85
x7rqikw,360p,4,85
x7rqikw,240p,2,85
x7rqikw,144p,1,85
x7rqil3,1080p,47,61
x7rqil3,720p,16,61
x7rqil3,480p,6,61
x7rqil3,360p,3,61
x7rqil3,240p,1,61
x7rqil3,144p,0.8,61
x7rqdxw,1080p,55,71
x7rqdxw,720p,19,71
x7rqdxw,480p,7,71
x7rqdxw,360p,4,71
x7rqdxw,240p,2,71
x7rqdxw,144p,0.9,71
x7rqgza,1080p,71,92
x7rqgza,720p,24,92
x7rqgza,480p,9,92
x7rqgza,360p,5,92
x7rqgza,240p,2,92
x7rqgza,144p,1,92
x7r0p47,1080p,66,86
x7r0p47,720p,24,86
x7r0p47,480p,9,86
x7r0p47,360p,5,86
x7r0p47,240p,2,86
x7r0p47,144p,1,86
x7lfa37,720p,19,54
x7lfa37,480p,6,54
x7lfa37,360p,2,54
x7lfa37,240p,1,54
x7lfa37,144p,0.5,54
x7qvkzq,1080p,59,77
x7qvkzq,720p,20,77
x7qvkzq,480p,8,77
x7qvkzq,360p,4,77
x7qvkzq,240p,2,77
x7qvkzq,144p,1,7
x6h1egh,1080p,72,93
x6h1egh,720p,25,93
x6h1egh,480p,9,93
x6h1egh,360p,5,93
x6h1egh,240p,2,93
x6h1egh,144p,1,93
x7r3uhl,1080p,58,75
x7r3uhl,720p,20,75
x7r3uhl,480p,7,75
x7r3uhl,360p,4,75
x7r3uhl,240p,2,75
x7r3uhl,144p,0.9,75
x7rqhf9,1080p,74,96
x7rqhf9,720p,25,96
x7rqhf9,480p,10,96
x7rqhf9,360p,5,96
x7rqhf9,240p,3,96
x7rqhf9,144p,1,96
x7rg64a,1080p,808,1040
x7rg64a,720p,279,1040
x7rg64a,480p,108,1040
x7rg64a,360p,59,1040
x7rg64a,240p,32,1040
x7rg64a,144p,13,1040
x7rpbfe,1080p,31,40
x7rpbfe,720p,11,40
x7rpbfe,480p,4,40
x7rpbfe,360p,2,40
x7rpbfe,240p,1,40
x7rpbfe,144p,0.5,40
x7roa5h,1080p,60,78
x7roa5h,720p,21,78
x7roa5h,480p,8,78
x7roa5h,360p,4,78
x7roa5h,240p,2,78
x7roa5h,144p,1,78
x7rpqw4,1080p,57,74
x7rpqw4,720p,19,74
x7rpqw4,480p,7,74
x7rpqw4,360p,4,74
x7rpqw4,240p,2,74
x7rpqw4,144p,0.9,74
x7rnhz2,1080p,61,79
x7rnhz2,720p,21,79
x7rnhz2,480p,8,79
x7rnhz2,360p,4,79
x7rnhz2,240p,2,79
x7rnhz2,144p,1,79
x7rpau1,1080p,35,46
x7rpau1,720p,12,46
x7rpau1,480p,4,46
x7rpau1,360p,2,46
x7rpau1,240p,1,46
x7rpau1,144p,0.6,46
x7rqefn,1080p,61,79
x7rqefn,720p,21,79
x7rqefn,480p,8,79
x7rqefn,360p,4,79
x7rqefn,240p,2,79
x7rqefn,144p,1,79
x7rg3r3,1080p,69,89
x7rg3r3,720p,23,89
x7rg3r3,480p,9,89
x7rg3r3,360p,5,89
x7rg3r3,240p,1,89
x7rg3r3,144p,2,89
x7rqfpq,1080p,45,59
x7rqfpq,720p,15,59
x7rqfpq,480p,6,59
x7rqfpq,360p,3,59
x7rqfpq,240p,1,59
x7rqfpq,144p,0.7,59
x5qepgr,1080p,49,64
x5qepgr,720p,17,64
x5qepgr,480p,6,64
x5qepgr,360p,3,64
x5qepgr,240p,2,64
x5qepgr,144p,0.8,64
x5vho9n,1080p,95,123
x5vho9n,720p,33,123
x5vho9n,480p,12,123
x5vho9n,360p,1,123
x5vho9n,240p,7,123
x5vho9n,144p,3,123
x6brsf3,1080p,51,66
x6brsf3,720p,17,66
x6brsf3,480p,6,66
x6brsf3,360p,3,66
x6brsf3,240p,2,66
x6brsf3,144p,0.8,66
x5umy9m,1080p,117,151
x5umy9m,720p,40,151
x5umy9m,480p,15,151
x5umy9m,360p,8,151
x5umy9m,240p,4,151
x5umy9m,144p,2,151
x5umy9p,1080p,145,187
x5umy9p,720p,50,187
x5umy9p,480p,19,187
x5umy9p,360p,10,187
x5umy9p,240p,2,187
x5umy9p,144p,0.5,187
x5umy9t,1080p,96,124
x5umy9t,720p,33,124
x5umy9t,360p,13,124
x5umy9t,240p,7,124
x5umy9t,144p,3,124
x7rcby3,1080p,183,246
x7rcby3,720p,63,246
x7rcby3,480p,24,246
x7rcby3,360p,13,246
x7rcby3,240p,7,246
x7rcby3,144p,3,246
x7rqgfa,1080p,84,108
x7rqgfa,720p,29,108
x7rqgfa,480p,11,108
x7rqgfa,360p,6,108
x7rqgfa,240p,3,108
x7rqgfa,144p,1,108
